State	City	Group	PrenatalCarePct	LowBirthweightPct	FirearmSuicides	TeenBirths	FirearmHomicides	PrematureDeathsAllCauses	BreastCancerDeaths	OpioidOverdoseDeaths	CVDDeaths	ColorectalCancerDeaths	HighBloodPressure	HighSchoolCompletionPct	UnemploymentPct	Uninsured	Smoking	ChronicAbsenteeism	ChildrenInPoverty	RentBurden	YouthNotInWorkSchool	LeadExposureRisk	HousingWithLeadRisk	Diabetes	RoutineCheckup	BroadbandConnection	IndependentLivingDiff	FreqPhysicalDistress	DentalCare	RaceDiversity	IncomeIneq	PhysicalInactivity	Obesity	BingeDrinking	RaceSegregation	FreqMentalDistress	ParkAccess	Walkability	MinPopDensity	MaxPopDensity	PopDensGroup
AK	Anchorage	Total	77	6.9	11.6	14.4	6	8584.1	19.5	21.3	154.9	13.4	27.6	94.2	5.2	11.8	15	NA	11.7	47.2	10.1	3	13.1	8.5	67.4	77.5	5.2	12.1	62	78.9	15	21.4	30.5	19.1	9.4	15.8	75.4	34.3	0.6241418050181001	11131.147540983608	Medium
AK	Kodiak	Total	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.5	86.4	4.8	9.4	14.8	NA	12.5	32.1	16.9	4	18.8	10.7	66.6	64.6	5.9	11.9	55.8	79.2	-3.1	24.1	27.8	15.5	3.4	13.6	34.8	38.4	216.46958559710237	1257.9160530191457	Low
AL	Auburn	Total	82	9.4	5	3.8	3.7	4181.5	33.1	NA	132.3	10.5	26.9	96.4	3	6	11.7	9.6	13.2	61.9	0.7	5	9.8	8	76.7	77.9	3.2	11.2	58.2	62.8	-16.1	23.4	30.7	17	9.6	22.4	39.6	24.5	43.85891943601048	18222.222222222223	High
AL	Birmingham	Total	68.4	12.5	12.2	38.1	51.4	22027.6	39.2	53.8	369.2	24.3	45.9	88.1	7.5	14.7	17.7	34.4	41.8	54.4	9.8	9	32.7	18.1	82.5	62.4	7.4	15.7	51	62.2	-28.6	33.1	44.1	12.6	33.2	19.5	55.1	33.6	1.36986301369863	11282.142857142857	Medium
AL	Decatur	Total	53.6	8.7	12.7	36.1	11.8	13157	22.8	11.4	266.9	17.7	43	83.1	5.1	14.8	18	23.3	19.5	44.6	7.1	5	18.5	16.3	79.1	64.5	7.9	16	54.4	62.3	-15.6	32.2	40.4	13.9	17.2	19.4	44.8	23.3	62.18751140469326	3467.4170616113747	Low
AL	Dothan	Total	73	10.9	12.8	39.2	10	11252.1	23.8	8.6	209.4	15	43.7	88.6	5.1	13.7	16.9	31.2	29.5	44.3	6	6	17.2	16	81	67.3	7.6	15.3	55.6	56.4	-14.9	30	37.1	12.8	14.1	18.6	19	19.7	65.93085949888994	2944.1964285714284	Low
AL	Hoover	Total	76	7.9	5.7	4.8	NA	3830.6	11.3	9.5	91	4.8	35.6	96.7	3.9	5.3	10	8.8	7.5	49.3	3.1	2	9.8	10.7	80.9	86.1	4.2	10.4	68.9	58.7	18.7	20.3	32.3	15.5	12.7	14.7	10.9	13.5	120.18403680736147	17323.170731707316	High
AL	Huntsville	Total	64.2	12	9.8	19.8	8.6	9059.8	18.8	18.6	194.8	12.4	37.9	91.5	4.6	11	13.4	22.8	20.1	44.7	6.2	4	15.5	12.6	80.5	79.1	5.2	12.8	59.9	64.3	-3.4	24.3	36.6	14.9	18.7	17.8	31.8	21.9	14.49566805758048	5416.912487708948	Low
AL	Madison	Total	NA	NA	9	NA	NA	7325.8	13.7	15.7	203.7	13.3	33	97.2	3	4	10	9.1	4.8	35.8	1.5	1	7.4	10.2	79.9	83.1	3	10	69	65.7	25.6	18.3	32.3	16.3	4.6	14.7	42	16.9	121.15548356281022	3007.0360598065085	Low
AL	Mobile	Total	76.7	13.3	11.3	33.2	20.8	14632.3	26	10.3	337.9	19.4	42.1	89.6	6.5	13	16.6	37.2	32.3	55.3	8	7	23.4	16	79	61.8	6.4	15.1	52.7	62	-21.9	29.3	43.4	14.2	24.7	19.4	38.5	31.2	38.67504582351401	5887.459807073955	Low
AL	Montgomery	Total	62.6	13.8	7.3	35.3	25.9	12513.9	30.9	6.4	224.9	17.4	43.8	87.6	7.2	13.1	17.4	33.3	31.8	51.6	8.9	7	20.6	17.4	81	72.8	7.1	14.9	54.8	61.8	-19.3	29.8	44.5	12.3	24.1	18.9	25.1	23.5	23.52870821345276	6112.546125461255	Low
AL	Tuscaloosa	Total	57.2	13.1	7.8	14	9.6	11503.6	20.3	14.8	277.7	17.7	35.8	91	6.8	8.4	15.7	22.5	23.3	58.4	2.2	7	15.9	12.1	77.7	70.5	4.3	13.7	51.7	61.1	-21.3	28.7	40.3	14.8	27.2	23.5	33.4	31.7	15.107452488723156	8421.875	Medium
AR	Alma	Total	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.9	88.8	7.2	7.6	19.3	26.1	48.1	54	28.9	6	9.5	13.3	77.7	71.1	8.6	16.8	53.3	34.3	-30.6	30.5	40.9	16.2	0.9	21.7	14.8	9.3	82.53851120745318	375.1543209876543	Low
AR	Bentonville	Total	NA	NA	7.6	NA	NA	6372.2	NA	NA	228.1	18.5	27.2	95.9	3.2	6.9	13	22	8.6	25.7	8.4	1	7.2	8.9	74.7	84.6	3.1	10.8	63.2	65.9	20	20.9	31.5	18.5	9.3	17.4	32.3	22.7	120.2845023627889	5205.882352941177	Low
AR	Conway	Total	75.8	9.7	14.5	13.6	4.7	11355	23.6	13.8	285.5	16	32.9	94.3	3	9.8	16.4	19	15.7	51.9	3.4	5	9.4	11.5	77.8	83.7	4.3	14.5	55.3	54.6	-15.9	27.1	37.9	16.5	5.6	23	26	24.1	88.02184378817275	4740.324594257178	Low
AR	Fayetteville	Total	75.8	8.1	7.1	12.2	NA	8133.6	20.7	5.4	429.3	11.3	27.2	95.2	5.3	8.8	15.4	30.8	19.5	49.1	4.2	5	12	8.4	71.1	74.6	3.4	13.1	55.5	59.5	-12.7	25.6	31.2	20.8	12.3	22.6	54.6	30.9	160.3946102021174	10941.91919191919	Medium
AR	Fort Smith	Total	59.2	8.8	8.4	32.2	4.5	11455.3	28.9	15.2	304.9	18.3	39.4	83.1	6.1	14.6	19.9	34.6	24.9	38.1	16.4	7	23	15.4	77.1	69.8	10.5	18.2	51.1	69.7	-17.6	35.9	37	14.4	13.4	21.2	23.9	34	105.00623401872319	5175.542406311637	Low
AR	Jonesboro	Total	70.8	10.7	9.7	23.1	7.1	9960.8	18.9	NA	289.5	15.1	35.7	91.2	6.7	10.6	17.7	31.5	31.7	54.2	8	6	12.2	12	76.7	68.7	8	15.2	52.8	55.6	-18.2	32	36.8	16	12	21.9	21	20.8	24.135213066339407	3667.26618705036	Low
AR	Little Rock	Total	71.4	12.5	8.2	29.5	17.7	11212.7	23.6	18.4	211.8	15.2	39.8	92.4	4.4	10.4	16.5	38.1	25.3	49.1	11.4	6	20.8	14.5	80.7	71.4	6	14.3	57.4	70	-9	28.4	38.2	17.3	24.9	19	43	30.1	60.7275059022414	7769.547325102881	Medium
AR	North Little Rock	Total	67.2	12.6	12	38.8	29.9	16576.2	28.6	20.7	300.9	25.9	43.4	91.5	6.6	13.4	20.5	40.5	31.1	47.6	13.9	7	21	16	80.7	62.7	7.8	16.6	52.3	65.9	-22.7	32.4	41	16.6	16.1	20.9	42	31.3	1.5020653398422832	4783.244680851064	Low
AR	Rogers	Total	70.3	7.4	9.5	26.4	NA	8401.3	33.2	8.2	299	14.7	32.8	84.9	2.9	14.1	16.8	19.6	18	37.3	5.7	3	9.3	12.7	75.4	75.3	4.1	14.7	56.2	67.7	6.2	28.3	36.8	17.1	13.6	19.1	33.8	19.4	120.2845023627889	3783.4507042253526	Low
AR	Springdale	Total	57.9	8.1	6.4	33.9	2.9	8966.8	18.2	NA	401.4	11.3	33.3	75.3	4.4	21.7	19.6	21.6	20.2	35.6	6.7	4	10.7	13.5	71.8	65.7	5.7	17	49.3	75.7	-6	34.1	36.8	18.1	13.8	20.7	15.9	24	114.85111891991862	7972.929936305733	Medium
AZ	Avondale	Total	74.9	6.4	4	19	6.8	9033.9	16.8	25.4	182.2	17.5	26.8	84.8	4.8	12.9	14	NA	14	50.6	5.8	2	7.5	11.8	69.5	77.7	5.6	13.7	54.9	72	0.5	27	36.1	18.3	7.9	18.8	21.8	28.3	22.323688279630286	7823.104693140794	Medium
AZ	Buckeye	Total	77.8	6.4	8.4	17.7	5.3	9143.3	27.2	20.4	199.1	21.8	29.3	88.2	5	8.9	15	NA	10.8	32.9	8.9	1	6.1	11.6	70.7	85.7	4.2	13.6	57.8	64	10.9	25	35.4	18.4	6.8	18	3.4	10.8	3.441997617885795	4239.445910290237	Low
AZ	Casa Grande	Total	NA	NA	16.8	NA	5.1	13122.1	18.4	28.3	227.1	12.9	34.9	89.1	6.8	13.4	14.4	NA	20.6	49.3	17.5	3	9.7	15.2	75.1	72.7	7	16.9	55.3	67.5	-7.9	29.2	38.7	15.1	6.3	18.2	34.2	25.4	46.78670732801149	4620.927936821323	Low
AZ	Chandler	Total	79.6	7.4	8.8	8.6	2.3	6235	24.8	15	197.1	14.1	26.5	94.2	3.8	8	11.3	NA	10.2	44.2	6.7	1	6.7	10.1	71.9	86.4	4.3	11.2	64.7	75.5	18	20.4	30.7	18.2	7.8	15.8	62.4	36.6	0	10205.179282868527	Medium
AZ	Flagstaff	Total	NA	7.7	9.8	3.3	NA	6366.4	34	14.8	175.2	17.3	19.6	95.4	6.6	10.3	11.1	NA	13.2	61.7	1.6	5	11.7	7	64.9	76	3.9	12	58.8	63.9	-8	17.1	24.5	20.5	7.8	22.7	57.2	38.1	0	9561.467889908256	Medium
AZ	Gilbert	Total	82.4	5.7	8.1	3.3	1	4881.2	21.9	12.4	180.3	13	25.1	96.3	3.5	6.2	11	NA	6.1	43.6	5.8	1	5.5	8.9	71.4	90.1	3.5	10.4	67.6	63.8	26.7	18.1	30.3	19.8	5.4	15.9	74.5	28	1146.2741490340386	7632.323232323232	Medium
AZ	Glendale	Total	75.6	7.4	11.9	20.7	7.1	12239.5	27.3	35.9	278.1	19.4	30	84.1	5.7	15	15.5	NA	24.4	54.6	9.5	4	11.6	12.7	71.1	70.7	6.5	15	54.1	73.3	-7.1	28.1	35.5	17.1	14.6	19.1	73.1	41	503.3918721866481	13252	High
AZ	Goodyear	Total	78.1	6.1	8.3	10.2	4.8	5993.2	24.3	15.1	158.1	11.4	30.2	92.5	5.5	9.9	12.5	NA	7.5	57.4	9.5	1	5.9	11.5	73.4	84.6	4.3	12.6	63.1	71.2	16.9	22.6	32.9	17	8.7	16.4	23.8	16.4	1.6401715871814282	5902.73556231003	Low
AZ	Kingman	Total	NA	NA	32.6	NA	NA	14706	40	24.8	268.8	29.9	34.8	89.6	6.3	7.6	17	NA	18.7	44.1	13	4	11.2	13.8	72.2	70	8.6	17.2	54.3	45	-16.1	28.1	35.7	16.2	5	18.8	35	24.7	1.6430219359046523	3740.774907749077	Low
AZ	Lake Havasu City	Total	84.1	5.9	19.5	9.4	NA	9193	28.8	17	242.1	18.7	38.2	91.4	5.9	13.1	15	NA	21	52.8	4.1	2	7.6	14.5	74.9	71.4	6.1	16.7	58.7	39.2	-9.7	27.2	34.5	15	9.4	16.4	12.7	16.1	11.777239622734415	3010.899182561308	Low
AZ	Marana	Total	NA	NA	6.4	NA	NA	2999.5	NA	9.2	68.7	5.4	30.6	96.1	4.1	5	11.2	NA	5.1	38.8	11.5	1	5.6	10.2	72.7	85	4.3	11.6	66.6	60.5	19	19.6	29.2	17	6.3	15.4	23.7	11.1	5.937989324890857	5068.902991840435	Low
AZ	Maricopa	Total	NA	NA	6.1	NA	4.8	8323.9	34.2	16.3	213.8	15.3	30.1	92.2	3.5	10.9	14.1	NA	9.3	53.7	5.5	2	5.5	12.3	73.4	86	4.9	14.3	59.2	78.6	9.4	24	38.3	17.5	7.5	18.6	11.9	11.6	3.7946453515195344	5844.68085106383	Low
AZ	Mesa	Total	74.4	7.3	11.7	18	4.3	9493.9	26.4	28.4	215.4	14.4	30.5	90.7	4.7	13.9	13.8	NA	16.2	52.1	9	3	10	11.7	72.4	77.6	5.4	13.7	59.9	65.2	-0.1	24.2	33.4	17.6	12.1	17.6	65	39.2	0	18907.142857142855	High
AZ	Peoria	Total	82.8	6.9	10.4	8.5	3.2	7520.8	22.2	25.9	209.8	13.8	30.9	92.4	3.9	8.2	12.5	NA	9.7	58.9	6.2	2	6.2	11.6	73.7	82.1	6	12.9	63.6	63.3	10	22.5	32	17.2	10.1	16.1	46	27	3.7908263906284674	7307.070707070707	Medium
AZ	Phoenix	Total	72.4	8.2	8	20.4	6.8	8729.2	19.1	30.4	179.7	13.9	28.3	83.9	5.2	16.5	14.6	NA	21.1	49.1	8.9	4	15.3	11.8	70.5	74	4.9	14	56	73.8	-0.5	26.3	35	17.8	21.1	18.5	49.5	42.6	0	30896.825396825396	High
AZ	Queen Creek	Total	NA	NA	6.5	NA	NA	6032.9	19.1	14.3	147.5	8.2	26.9	97.1	4.3	6.2	12.1	NA	4.4	38.9	6.1	1	5.3	9.6	71.9	90.3	3.6	11.5	66.9	59	34.2	19	32.1	19.7	4.6	16.5	15.7	14.8	62.599973654001765	6153.558052434457	Low
AZ	Scottsdale	Total	84.4	7.1	13.3	6	2.6	6076.7	23.3	22.5	149.8	13.4	31.1	97.3	3.5	6.9	8.9	NA	8.2	41.9	5.8	2	10.7	10.5	75.9	85.1	3.7	10.8	70.9	49.5	21.4	17.8	28.5	16.7	8	13.4	41.4	35.2	0	12656.77966101695	Medium
AZ	Surprise	Total	77	6.4	10	9.6	3.3	7323	17.8	22.6	170.5	11.8	33.1	93.7	4.6	9.6	12.2	NA	8.9	53.4	9.4	1	5.5	12.1	75	78.6	4.9	12.8	64.7	58	7	22.3	31.8	16.4	9.3	15.6	16.7	21.6	38.60638013557181	7456.543456543457	Medium
AZ	Tempe	Total	75.3	8.5	9.4	7.8	3.5	7882.8	22.6	24.4	181.2	12.5	22.7	93.7	5.7	11.3	11.1	NA	18.2	50.8	2.4	4	12.1	7.9	68.9	80.3	3.5	10.8	60.1	78	-1.3	20.2	29.7	19.7	6.7	19	64.3	57.5	0	36203.125	High
AZ	Tucson	Total	63.5	8.4	15	21.3	8.2	13314.1	28.6	42	275	19.8	30.9	86.6	6.5	13.4	15.5	NA	25	53.1	7.1	7	19.5	12.5	70	71.8	6.6	15.6	52.5	69.2	-20	28	33.8	16.3	15.7	20.1	64.1	44.3	0.12233912405187179	20634.538152610443	High
AZ	Yuma	Total	62.8	6.4	12.3	36.9	5.3	13310.7	22.9	6.1	275.6	14.2	31.4	83.2	7.7	14.2	14	NA	21.7	49.5	10.6	5	14.2	14.4	72.4	72.7	4.8	16.3	51.4	57.9	-12.7	30.9	40.7	17.9	10.7	19.2	36.3	34	0.003297863709846036	6583.979328165375	Low
CA	Alameda	Total	94	7.5	4.1	3.8	NA	4531	21.2	4.6	156.7	16.4	27.1	93.1	5.1	3.4	9.1	18.2	6.3	44.4	2.9	7	37.6	9.2	72.3	85.9	4.3	10.4	70.4	85.3	31.5	16.5	18.5	18.2	4.7	13.4	91.4	70.8	1583.6666666666667	21022.222222222223	High
CA	Alhambra	Total	89.3	7.8	NA	4.7	NA	4620.3	12.5	7.1	155.3	19.7	28.3	83.1	5.5	5.7	10.3	17.8	13	53.7	4.9	8	36.9	14	72.7	71.4	5.6	12.6	59.9	68.7	1.1	25.8	20.1	13.7	5.5	14	64.5	72.1	4637.048192771084	25224.852071005917	High
CA	Aliso Viejo	Total	NA	NA	NA	NA	NA	3294.5	NA	15.2	137.4	NA	24.2	96.4	3.8	4	9.4	21.6	4.7	56.9	2.3	1	5.8	8.3	72.6	87.9	3.8	10.4	71.8	73.6	33.4	15.4	24.7	19.9	2.9	14.5	89.3	39.1	2541.442824251727	12932.673267326732	High
CA	Anaheim	Total	88.9	7.3	1.8	11.9	2.8	6811	22.6	17.7	201.4	11.6	26.9	77.8	5.4	11.9	12.3	31.2	17.2	60.5	7.5	5	22.7	11.7	70.9	76.3	5.3	13.9	58.7	74.6	9.2	24.5	28	17.5	10.1	16.6	67.1	56.1	28.089887640449437	19423.49726775956	High
CA	Antioch	Total	86.3	9.2	3.7	10.8	9.6	8491.2	26	15.1	230.1	12.1	29.7	85.6	7.9	7.2	13.4	44.2	17.8	63.8	5.1	4	15.5	12.4	69.3	79.2	8.6	14.5	60.1	92	13	23.4	33.5	18	6	17.7	74	40.2	182.85407657586566	16011.029411764704	High
CA	Apple Valley	Total	86.1	8.4	10	13.8	4	12923.7	38.8	21.4	344.4	16.9	35.2	85.6	9.2	8.1	15.1	55.2	24.5	62.4	8.5	4	9.7	14	72.6	75.8	8.1	16.5	55.1	73.1	-6	28.3	36.2	16.4	7.4	18.6	8.8	13.4	19.641468424096193	4825.813221406086	Low
CA	Arcadia	Total	87.1	5.8	NA	3	NA	3827.6	23.3	NA	198.7	13.9	28.1	92.7	5.4	4.9	7.7	8.3	12.2	57.9	0.7	6	29.5	12.6	75.2	82.1	6.7	10.2	67.8	73.7	21.9	20.6	16.3	12.5	7	11.7	71.4	56.5	2237.974683544304	24696.808510638297	High
CA	Azusa	Total	NA	NA	NA	NA	6.6	9923.6	28.7	10.5	346.3	17.3	25	80	6.1	10.6	10.7	41.1	22.7	53.8	2.4	6	26.7	11.7	69.6	70.4	4.6	13.2	60.6	63.4	4.7	24.2	26.2	18.7	10.7	17.5	67.7	56.3	1555.8690744920993	19565.384615384613	High
CA	Bakersfield	Total	81.6	7.7	7.6	30.5	13.9	15132.6	34.4	40.3	373.1	20.8	29.1	81.6	7.1	8.2	14.4	38.5	22.4	53.8	8.6	5	14.6	12.1	70.4	75.7	5.4	15.1	56.3	70.5	-1.4	27.7	34.5	18.1	17.5	18.5	45.8	35.8	15.908663785002819	18843.13725490196	High
CA	Baldwin Park	Total	89.6	8	NA	9.8	4.8	7267.9	20.4	5.5	208.5	17.8	27.7	67	7.1	11.1	12.6	49	21.8	59.6	9.2	8	31.6	14.9	69.4	67.4	5.7	15.7	53.3	46.2	-3.2	30.6	27.2	16.5	4.3	17.5	36	55.1	3141.850220264317	15641.618497109828	High
CA	Beaumont	Total	NA	NA	NA	NA	NA	6738.8	33.6	14.4	276.8	17.5	29	89.5	5.6	7.1	12	24	8.1	52	3.1	2	10.4	11.4	70.4	85	4.4	13.7	64	75.9	13.9	24.5	33.3	18.6	7.4	16.3	49.1	17.8	81.04363346014748	7310.793237971391	Medium
CA	Bellflower	Total	86.4	7.2	3.8	10	7.3	7198.9	20.5	8.2	237.5	17.4	28.1	77.7	8.4	10.3	13	36.3	20.4	57.6	8.8	7	28.8	13	70.7	73.8	5.9	14.8	56.9	73.9	-3.8	26.7	28.8	17.6	3.8	18.3	69.9	68.4	8532.637075718016	34684.61538461538	High
CA	Berkeley	Total	93.6	6.2	NA	0.7	2.3	3793.7	22	6.2	147.5	12.8	22.9	96.1	5.5	3.4	8.5	13.2	6	54.9	3	9	48.3	6.8	69.5	85.9	4.3	10.2	66.3	81.6	19.3	16.2	19.2	20.4	8.4	17.5	87.6	85	1593.8931297709923	71170.88607594937	High
CA	Brentwood	Total	91.5	7.2	NA	4.2	4.3	5332.6	32	10.2	155	16.7	27.4	92.4	6	2.4	10.5	27.5	7.6	51.8	3.2	1	7.8	10.3	70.2	87.3	4.4	12.1	69	87.2	36.2	18.3	29.1	19.1	6.6	15.3	94.1	38.9	514.8231079265562	6345.618915159945	Low
CA	Buena Park	Total	87.6	6.8	NA	11.9	NA	6295.2	30.6	8.5	207	16.3	27.5	85.7	5.4	8.3	11.3	24	10.6	55.2	4.2	5	28.6	12	72.3	80.4	5.4	12.7	61.1	79.2	19.6	23.2	24.7	15.9	4.8	14.9	52.6	57.5	4829.006772009029	15469.548133595285	High
CA	Burbank	Total	88.9	6.7	2.3	2.8	NA	4446.5	25.1	8.1	215.8	14.6	27.2	92.8	6.6	4.9	10.7	23	11.8	58.1	4.6	7	35.5	10	72.2	81.2	7.4	12.1	67.6	74.1	8.8	19.1	24.8	19.3	6.3	16.2	70	72.8	31.319910514541387	26120.418848167537	High
CA	Camarillo	Total	90.5	7.2	6.4	5	NA	5176.1	20	17.7	193.4	18.1	32.2	94.1	4.8	5.1	9.9	19.1	7	64.6	5.6	2	12.6	10.9	71.8	86.9	5.5	12.3	68.5	73	20.6	19.3	26.6	18	4.3	14.8	67.8	43.7	124.12645590682197	9109.965635738832	Medium
CA	Carlsbad	Total	91.9	5.8	5	1.5	NA	3494.8	16.9	13.3	144.5	9.9	27.1	95.1	6	6.1	9.5	22.5	6.5	53.3	3.6	2	10.6	9.2	74.5	88.3	4.9	11.5	72	63.2	34.5	15.3	23.9	20.8	7.2	14.4	50.8	30.1	567.2703751617076	10259.786476868327	Medium
CA	Carpinteria	Total	NA	NA	NA	NA	NA	4848.5	NA	NA	221.2	NA	30.1	84.9	4.6	9.6	10.2	29.8	4.3	60.4	0	4	21.3	11.5	72.4	85.9	3.5	13	67.1	60.1	21.8	21.5	30.9	18.7	3.8	14.7	87	50.3	97.11565030713967	5103.484688489969	Low
CA	Carson	Total	88.3	8.4	3.2	4.7	6.8	7103.6	28.5	6.9	219.5	15.7	31.9	82.3	6.9	8.5	11	32.4	10.7	53.6	8.4	5	27.1	14.8	74.2	77.4	7.9	13.6	60.8	84.2	14.6	25.4	25.6	14.9	18.9	15.5	54.4	56.4	0	20840.517241379308	High
CA	Cathedral City	Total	82.4	6.3	6.8	15.7	9.2	9196.8	24	17.7	250.9	15.8	33	80.7	6.2	12.4	13.3	28.9	26.1	67.3	10.9	4	10.5	13.8	70.6	77.8	5.6	16.5	58.1	65.4	-9.2	29.8	35.4	16.8	18	16.6	29.3	37.3	30.215316812638893	13714.285714285714	High
CA	Cerritos	Total	NA	NA	NA	NA	NA	4281.6	23.3	NA	148.4	15.9	29.8	94	5.4	4.4	7.5	17.5	3.9	42.5	3.3	2	16.9	13.6	76.2	84.4	5.3	10.2	68.7	74.1	31.3	20.8	16.4	12.2	3.5	11.2	81.4	56.6	3208.4673097534833	11598.173515981734	Medium
CA	Chico	Total	84	6.9	8.7	7	NA	7971.4	28.4	16.2	216.4	13.5	27.4	93.2	6.9	7.5	12.7	27.2	18.5	59.5	3.3	7	20	9.2	69.4	80.5	5.7	13.6	61.3	58.2	-9.2	21.2	29.9	20	4.4	19.8	49.7	44.3	32.80183830623235	11475.409836065573	Medium
CA	Chino	Total	88.6	6.6	NA	9.8	NA	6752.9	23.7	6.7	251.4	12.3	29.1	83.4	5.5	9.6	11.7	34	8.8	57.6	7.4	2	13.1	12.7	70.4	78.6	4.1	13.4	58.6	78.4	15.9	25.5	32.3	17.3	9.7	16.1	65.3	41	1032.0512820512822	11533.333333333334	Medium
CA	Chino Hills	Total	89.6	7	3.2	2.3	NA	3351.9	22.4	NA	149.4	7.2	27.8	93.6	6.2	5.5	8.8	22	8.2	62.9	3.4	1	8	11.6	72.4	87.9	4.4	10.7	65	82	28.1	21	26.3	15.7	6.9	13.5	74.4	26.6	267.68354006034195	5978.316326530612	Low
CA	Chula Vista	Total	87.7	7.7	2.3	8.1	1.6	5258.6	17	10.6	180.3	14.7	25.3	85.3	8.8	8.2	11	26.7	10.7	58.2	4.3	3	16.1	11.6	71.2	81.2	5.6	13.4	61.5	72.5	15.3	22.3	26.9	19.9	9.6	16.1	72.5	45.2	49.630701495710376	24724.719101123595	High
CA	Citrus Heights	Total	85.2	6	5.4	9.9	2.9	7713.5	27.2	10.9	207.9	15.9	30	90.6	6.3	8.2	13.4	49.2	9.8	55.8	6.5	4	17	10.4	69.7	78.9	7.6	14	63.9	62.2	-0.1	21.6	35.4	18.2	4.7	18.3	62.6	44.6	4713.670613562971	9012.3456790123455	Medium
CA	Clovis	Total	89.4	6.6	5.5	7.8	2.1	7149.4	27.4	9.1	256.4	14.4	28.9	91.2	6.3	4.8	11.4	26.6	9.6	48.8	8.3	2	10.9	10.4	71.4	80.9	5	12.5	65.1	76.7	18	18.9	34	17.4	4.7	16.6	67	34.1	66.05334301739094	10140.46822742475	Medium
CA	Colton	Total	81.7	7.9	NA	15.3	12.5	11497.1	21.8	12.3	243.7	14.1	29.1	76	7.4	10	13.3	40.4	24.6	58.4	4.9	7	23.6	13.3	68.4	67.5	5.2	15.7	51.4	59.1	-9.9	30.3	37.2	17.9	17.4	19	48.4	45.8	703.5145324090963	19385.5421686747	High
CA	Compton	Total	84.7	8.1	NA	28.7	23.9	14261.8	35.4	20.6	395	19.7	30.9	63.8	7.9	13	15.5	31.7	27	58.8	15.3	9	37.4	14.9	69.8	60.9	6.4	17.4	49.7	47.7	-9.7	31.8	33.9	17.5	11.6	20.8	74.1	64.5	1023.2924142272584	20032.608695652172	High
CA	Concord	Total	89.6	6.7	3.6	10.8	NA	5625	24.7	15	171.1	11.9	27.1	88.6	4.9	6.7	11.4	31.3	11.6	57.3	3.5	4	23.7	10.7	69.1	82.6	6.9	12.9	65.8	82.7	19.7	19.9	29.6	19.1	9.2	15.8	63.6	51.3	192.34468166955182	43697.36842105263	High
CA	Corona	Total	84.6	6.7	6.3	11.6	2.1	8176.6	25.3	17.2	340.7	18.5	26.7	85.8	4.6	8.8	12	25.4	9.8	59.6	7.5	2	11.2	10.8	68.7	79.5	4.6	13.4	63	78	18.2	24.6	32.6	19.2	9.1	16.7	59.5	38.9	107.5137800986365	15278.514588859416	High
CA	Costa Mesa	Total	92.1	6.5	3.3	8.3	NA	5763.1	15.3	22.5	181.1	18.2	24.9	87.9	5	12.1	11.2	26.6	10.5	51.2	6.6	4	21.7	9.1	70.8	80.8	4.5	12.1	64.9	75.2	20	19.1	27.2	20.2	14	16.2	66.3	63.1	2319.2307692307695	20028.16901408451	High
CA	Covina	Total	NA	NA	5.4	NA	6.9	10714.1	48.5	18.5	359.7	24.4	27.4	87.1	5.7	8.8	10.5	27.9	9.8	55.3	6.1	5	29.5	12.2	71.3	74.6	5.3	13.2	62.7	70.2	12.8	23.6	26.1	18	2.5	16.1	59.4	57.7	3757.671957671958	11644.1351888668	Medium
CA	Cupertino	Total	95	6	NA	NA	NA	2437.3	14.3	NA	134.4	7.6	23.5	97.2	3	1.8	5.6	7.4	3.3	32.3	1.9	3	18.8	9.8	71.4	91.9	4.2	7.4	74.3	58.6	57	15.5	15.9	12.7	6.7	9.6	61.2	49.5	67.85141022701215	30927.272727272724	High
CA	Cypress	Total	NA	NA	NA	NA	NA	4736.8	18	14.3	192.6	14.4	27.6	90.6	5.1	6.6	9.4	12.9	7.5	54.5	4.4	3	17.9	11	74.4	85.8	5	11.2	67.7	82.9	26.3	19.2	22.3	15.6	5.4	13.2	87.4	59.5	1275.539568345324	15469.548133595285	High
CA	Daly City	Total	89.8	8	NA	4.1	2.4	4866	17.8	12	149.8	8.8	26.9	87.8	5.4	6.1	9.4	21.6	8.9	56	7.2	5	29.7	11.8	69.7	82.6	5.4	10.9	63	71	24	21.4	18.9	14.7	8	13.1	81	66.9	1146.2639109697934	33397.37991266375	High
CA	Davis	Total	86.3	5.5	NA	1.7	NA	3539	14.3	NA	140.6	15.5	22.9	97	5.8	3.4	8.8	19.8	9.1	64.1	0.7	6	13.9	7.9	70.8	85	3.3	11.1	65.1	77.1	5.9	19.4	23.3	17.7	3.7	18	93.7	47.7	34.73057448735653	11808.764940239043	Medium
CA	Delano	Total	85.3	7.5	NA	25.3	17.2	8079.3	17.2	5.7	321.9	10.8	30	62.9	9.8	8.6	17.6	30.4	30.2	52.4	9.1	7	19.4	14.7	67.2	45.2	3.9	17.5	43.8	49.4	-18.5	35.8	37.2	17.5	21.3	19.5	49.5	39.8	17.978572741326936	9614.564831261103	Medium
